Process,Burst Time,Arrival Time,Waiting Time,Turn Around Time
952,136,193,30345,30481
786,137,170,30504,30641
795,137,534,30277,30414
257,137,745,30203,30340
123,137,999,30086,30223
149,138,290,30932,31070
974,138,702,30658,30796
960,140,630,30868,31008
582,140,945,30693,30833
545,141,377,31401,31542
271,142,188,31731,31873
131,142,645,31416,31558
660,142,810,31393,31535
121,143,72,32273,32416
670,143,577,31911,32054
507,143,654,31977,32120
458,143,716,32058,32201
473,144,409,32508,32652
477,145,56,33005,33150
365,145,382,32824,32969
553,145,407,32944,33089
706,145,430,33066,33211
737,145,742,32899,33044
575,145,795,32991,33136
562,146,117,33814,33960
718,146,254,33823,33969
109,146,410,33813,33959
142,146,523,33846,33992
867,146,603,33912,34058
158,146,742,33919,34065
913,146,911,33896,34042
676,147,677,34276,34423
754,147,849,34251,34398
424,148,85,35162,35310
262,148,346,35049,35197
827,148,430,35113,35261
601,149,270,35421,35570
958,149,330,35510,35659
944,149,722,35267,35416
383,149,770,35368,35517
595,150,154,36133,36283
908,150,221,36216,36366
428,150,689,35898,36048
819,150,895,35842,35992
959,151,80,36807,36958
215,151,106,36932,37083
382,151,149,37040,37191
690,151,693,36647,36798
291,151,907,36584,36735
297,152,131,37511,37663
213,152,174,37620,37772
234,152,644,37302,37454
425,152,795,37303,37455
497,153,438,37812,37965
637,155,368,38035,38190
107,155,459,38099,38254
240,155,966,37747,37902
268,156,165,38703,38859
160,156,924,38100,38256
478,157,601,38579,38736
969,157,684,38653,38810
415,157,871,38623,38780
883,158,414,39237,39395
642,159,277,39532,39691
838,159,464,39504,39663
249,159,557,39570,39729
906,159,788,39498,39657
274,160,90,40355,40515
635,160,239,40366,40526
305,160,251,40514,40674
176,160,376,40549,40709
713,161,133,40952,41113
732,161,257,40989,41150
141,161,438,40969,41130
996,162,225,41343,41505
592,162,587,41143,41305
393,162,797,41095,41257
825,162,957,41097,41259
758,163,125,42091,42254
661,163,449,41930,42093
828,163,654,41888,42051
697,163,974,41731,41894
787,164,103,42765,42929
308,164,140,42892,43056
301,164,290,42906,43070
239,164,699,42661,42825
560,164,718,42806,42970
175,165,208,43480,43645
223,165,350,43503,43668
419,165,620,43398,43563
587,166,243,43940,44106
719,166,454,43895,44061
792,166,478,44037,44203
724,166,516,44165,44331
963,166,730,44117,44283
235,166,742,44271,44437
394,168,296,44883,45051
791,168,622,44725,44893
655,168,760,44755,44923
146,169,320,45363,45532
355,169,709,45143,45312
743,169,757,45264,45433
191,169,870,45320,45489
985,170,58,46301,46471
870,170,361,46168,46338
506,170,713,45986,46156
228,170,971,45898,46068
803,171,684,46355,46526
721,171,856,46354,46525
708,172,375,47006,47178
528,172,649,46904,47076
928,172,658,47067,47239
143,172,917,46980,47152
386,173,272,47797,47970
345,173,990,47252,47425
685,174,613,47802,47976
799,174,957,47632,47806
871,175,195,48568,48743
337,175,842,48096,48271
561,175,897,48216,48391
